Profile,Device,Download_Kbps,Upload_Kbps,Latency_ms,Route_ID,Page_Name,Route_Hash,Concurrent_API_Count,Aggregate_Request_Count,Concurrent_API_Duration_ms,Route_Transition_ms,Aggregate_Page_Load_ms,Transferred_KB,HAR_Archive,Status
255Kbps,Chrome Mobile (Pixel 7 Android),255,255,300,Auth_Signin,Auth Sign-In Landing,/#/auth/signin,2,14,425,2.6,426.0,20.2,android_chrome_pixel7_255Kbps.har,PASS
255Kbps,Chrome Mobile (Pixel 7 Android),255,255,300,Teacher_Home,Teacher Home Feed,/#/home,4,16,511,2.5,512.0,23.0,android_chrome_pixel7_255Kbps.har,PASS
255Kbps,Chrome Mobile (Pixel 7 Android),255,255,300,Admin_Dashboard,Admin Dashboard,/#/dashboard,4,16,499,4.5,500.8,23.3,android_chrome_pixel7_255Kbps.har,PASS
255Kbps,Chrome Mobile (Pixel 7 Android),255,255,300,Content_Gen,Content Generation Hub,/#/content-generation,3,15,496,1.1,496.4,21.6,android_chrome_pixel7_255Kbps.har,PASS
255Kbps,Chrome Mobile (Pixel 7 Android),255,255,300,Schedule,Teacher Timetable & Schedule,/#/schedule,3,15,446,4.1,447.6,21.8,android_chrome_pixel7_255Kbps.har,PASS
255Kbps,Chrome Mobile (Pixel 7 Android),255,255,300,Profile,Teacher Profile,/#/profile,2,14,409,2.0,409.8,20.1,android_chrome_pixel7_255Kbps.har,PASS
255Kbps,Chrome Mobile (Pixel 7 Android),255,255,300,Help,Teacher Help & Manual,/#/help,2,14,446,3.0,447.2,20.1,android_chrome_pixel7_255Kbps.har,PASS
332Kbps,Chrome Mobile (Pixel 7 Android),332,332,250,Auth_Signin,Auth Sign-In Landing,/#/auth/signin,2,14,354,3.2,355.3,20.2,android_chrome_pixel7_332Kbps.har,PASS
332Kbps,Chrome Mobile (Pixel 7 Android),332,332,250,Teacher_Home,Teacher Home Feed,/#/home,4,16,394,2.0,394.8,23.0,android_chrome_pixel7_332Kbps.har,PASS
332Kbps,Chrome Mobile (Pixel 7 Android),332,332,250,Admin_Dashboard,Admin Dashboard,/#/dashboard,4,16,425,2.7,426.1,23.3,android_chrome_pixel7_332Kbps.har,PASS
332Kbps,Chrome Mobile (Pixel 7 Android),332,332,250,Content_Gen,Content Generation Hub,/#/content-generation,3,15,378,2.5,379.0,21.6,android_chrome_pixel7_332Kbps.har,PASS
332Kbps,Chrome Mobile (Pixel 7 Android),332,332,250,Schedule,Teacher Timetable & Schedule,/#/schedule,3,15,374,2.1,374.8,21.8,android_chrome_pixel7_332Kbps.har,PASS
332Kbps,Chrome Mobile (Pixel 7 Android),332,332,250,Profile,Teacher Profile,/#/profile,2,14,347,2.5,348.0,20.1,android_chrome_pixel7_332Kbps.har,PASS
332Kbps,Chrome Mobile (Pixel 7 Android),332,332,250,Help,Teacher Help & Manual,/#/help,2,14,367,1.0,367.4,20.1,android_chrome_pixel7_332Kbps.har,PASS
slow_3g,Chrome Mobile (Pixel 7 Android),400,160,400,Auth_Signin,Auth Sign-In Landing,/#/auth/signin,2,14,580,1.6,580.6,20.2,android_chrome_pixel7_slow_3g.har,PASS
slow_3g,Chrome Mobile (Pixel 7 Android),400,160,400,Teacher_Home,Teacher Home Feed,/#/home,4,16,538,2.1,538.8,23.0,android_chrome_pixel7_slow_3g.har,PASS
slow_3g,Chrome Mobile (Pixel 7 Android),400,160,400,Admin_Dashboard,Admin Dashboard,/#/dashboard,4,16,537,1.5,537.6,23.3,android_chrome_pixel7_slow_3g.har,PASS
slow_3g,Chrome Mobile (Pixel 7 Android),400,160,400,Content_Gen,Content Generation Hub,/#/content-generation,3,15,516,2.0,516.8,21.6,android_chrome_pixel7_slow_3g.har,PASS
slow_3g,Chrome Mobile (Pixel 7 Android),400,160,400,Schedule,Teacher Timetable & Schedule,/#/schedule,3,15,488,2.0,488.8,21.8,android_chrome_pixel7_slow_3g.har,PASS
slow_3g,Chrome Mobile (Pixel 7 Android),400,160,400,Profile,Teacher Profile,/#/profile,2,14,499,4.2,500.7,20.1,android_chrome_pixel7_slow_3g.har,PASS
slow_3g,Chrome Mobile (Pixel 7 Android),400,160,400,Help,Teacher Help & Manual,/#/help,2,14,503,3.0,504.2,20.1,android_chrome_pixel7_slow_3g.har,PASS
409Kbps,Chrome Mobile (Pixel 7 Android),409,409,200,Auth_Signin,Auth Sign-In Landing,/#/auth/signin,2,14,297,2.5,298.0,20.2,android_chrome_pixel7_409Kbps.har,PASS
409Kbps,Chrome Mobile (Pixel 7 Android),409,409,200,Teacher_Home,Teacher Home Feed,/#/home,4,16,336,1.2,336.5,23.0,android_chrome_pixel7_409Kbps.har,PASS
409Kbps,Chrome Mobile (Pixel 7 Android),409,409,200,Admin_Dashboard,Admin Dashboard,/#/dashboard,4,16,302,2.0,302.8,23.3,android_chrome_pixel7_409Kbps.har,PASS
409Kbps,Chrome Mobile (Pixel 7 Android),409,409,200,Content_Gen,Content Generation Hub,/#/content-generation,3,15,318,3.6,319.4,21.6,android_chrome_pixel7_409Kbps.har,PASS
409Kbps,Chrome Mobile (Pixel 7 Android),409,409,200,Schedule,Teacher Timetable & Schedule,/#/schedule,3,15,295,2.1,295.8,21.8,android_chrome_pixel7_409Kbps.har,PASS
409Kbps,Chrome Mobile (Pixel 7 Android),409,409,200,Profile,Teacher Profile,/#/profile,2,14,287,4.1,288.6,20.1,android_chrome_pixel7_409Kbps.har,PASS
409Kbps,Chrome Mobile (Pixel 7 Android),409,409,200,Help,Teacher Help & Manual,/#/help,2,14,285,2.9,286.2,20.1,android_chrome_pixel7_409Kbps.har,PASS
719Kbps,Chrome Mobile (Pixel 7 Android),719,719,150,Auth_Signin,Auth Sign-In Landing,/#/auth/signin,2,14,209,1.5,209.6,20.2,android_chrome_pixel7_719Kbps.har,PASS
719Kbps,Chrome Mobile (Pixel 7 Android),719,719,150,Teacher_Home,Teacher Home Feed,/#/home,4,16,233,1.5,233.6,23.0,android_chrome_pixel7_719Kbps.har,PASS
719Kbps,Chrome Mobile (Pixel 7 Android),719,719,150,Admin_Dashboard,Admin Dashboard,/#/dashboard,4,16,223,1.5,223.6,23.3,android_chrome_pixel7_719Kbps.har,PASS
719Kbps,Chrome Mobile (Pixel 7 Android),719,719,150,Content_Gen,Content Generation Hub,/#/content-generation,3,15,220,1.5,220.6,21.6,android_chrome_pixel7_719Kbps.har,PASS
719Kbps,Chrome Mobile (Pixel 7 Android),719,719,150,Schedule,Teacher Timetable & Schedule,/#/schedule,3,15,208,1.5,208.6,21.8,android_chrome_pixel7_719Kbps.har,PASS
719Kbps,Chrome Mobile (Pixel 7 Android),719,719,150,Profile,Teacher Profile,/#/profile,2,14,210,2.5,211.0,20.1,android_chrome_pixel7_719Kbps.har,PASS
